0.180000	0.270000	और
0.270000	0.360000	ये
0.360000	0.720000	कपड़ा
0.840000	1.050000	ऐसा
1.080000	1.260000	लग
1.260000	1.380000	रहा
1.380000	1.440000	है
2.160000	2.400000	किया
2.400000	2.760000	!SIL
2.820000	2.970000	ये
2.970000	3.270000	कपड़े
3.270000	3.420000	की
3.420000	3.780000	डिजाइन
4.170000	4.530000	काफी
4.530000	4.800000	अच्छी
4.800000	5.010000	लग
5.010000	5.400000	रही
5.400000	5.580000	है
5.580000	5.760000	और
5.760000	6.030000	यहाँ
6.030000	6.180000	पे
6.180000	6.240000	जो
6.240000	6.360000	इस
6.360000	6.570000	तरह
6.810000	6.900000	के
6.900000	7.410000	डिज़ाइन
8.520000	8.880000	ऐसे
8.880000	9.240000	टाइप
9.330000	9.570000	के
9.570000	9.870000	ही
10.260000	10.620000	कपड़े
10.890000	10.920000	!SIL
11.130000	11.310000	है
11.310000	11.370000	और
11.370000	11.520000	वो
11.520000	11.910000	काफी
