0.060000	0.300000	एगो
0.300000	0.720000	पोस्ट
0.720000	1.200000	ऑफिस
1.200000	1.590000	बा
1.710000	2.070000	ओकरे
2.100000	2.670000	सामने
2.700000	3.060000	बहुत
3.090000	3.450000	सारा
3.450000	3.930000	गाड़ी
3.930000	4.320000	खड़ा
4.320000	4.710000	बा
4.830000	5.340000	गाड़ी
5.340000	5.580000	में
5.640000	6.180000	!SIL
6.180000	6.390000	भी
6.390000	6.630000	बा
6.690000	6.960000	कै
6.960000	7.140000	गो
7.140000	7.470000	में
7.560000	8.070000	एगो
8.070000	8.130000	और
8.130000	8.520000	आदमी
8.550000	8.880000	गाड़ी
8.880000	9.210000	चला
9.210000	9.480000	के
9.480000	9.720000	!SIL
9.750000	10.200000	!SIL
10.200000	10.230000	अ
