0.090000	0.270000	यहां
0.270000	0.450000	पर
0.450000	0.690000	एक
0.720000	0.990000	अ
0.990000	1.320000	बिल्डिंग
1.320000	1.590000	जैसा
1.590000	1.770000	कुछ
1.770000	2.070000	दिखाई
2.070000	2.220000	दे
2.220000	2.430000	रहा
2.430000	2.550000	है
2.550000	2.880000	जिसके
2.880000	3.210000	नीचे
3.480000	3.600000	अ
3.600000	3.870000	एक
3.870000	4.230000	दुकान
4.230000	4.560000	दिखाई
4.560000	4.740000	दे
4.740000	5.040000	रहा
5.040000	5.160000	है
5.160000	5.190000	अ
5.730000	6.120000	ऊपर
6.420000	6.450000	!SIL
6.540000	6.690000	भी
6.690000	7.020000	दिखाई
7.020000	7.110000	दे
7.110000	7.290000	रहा
7.290000	7.380000	है
7.380000	7.620000	कुछ
7.620000	7.860000	लाइट
7.860000	7.980000	के
7.980000	8.220000	तार
8.220000	8.370000	भी
8.370000	8.700000	दिखाई
8.700000	8.850000	दे
8.850000	9.090000	रहे
9.090000	9.240000	हैं
