0.060000	0.360000	!SIL
0.360000	0.570000	একটা
0.570000	1.080000	জলাশয়
1.080000	1.530000	রয়েছে
1.530000	2.010000	ডে
2.130000	2.490000	সবুজ
2.520000	2.790000	!SIL
2.790000	2.910000	এর
3.270000	3.510000	এন্ড
3.510000	3.690000	তার
3.690000	4.470000	চারিদিকে
4.530000	5.010000	একটা
5.010000	5.040000	!SIL
5.490000	5.700000	তার
5.700000	6.210000	!SIL
6.510000	6.810000	একটা
6.810000	7.110000	মাঠ
7.110000	7.350000	!SIL
7.410000	7.740000	রয়েছে
7.740000	8.070000	সবুজ
8.310000	8.340000	!SIL
8.340000	8.400000	এর
8.400000	8.490000	আর
8.610000	8.790000	!SIL
8.790000	9.060000	কিছু
9.060000	9.330000	গাছ
9.330000	9.720000	রয়েছে
