0.240000	0.810000	दुकान
0.840000	1.410000	बाटे
1.410000	1.890000	ओमें
2.250000	2.280000	!SIL
2.340000	2.580000	!SIL
2.670000	2.790000	के
2.790000	3.060000	सब
3.660000	4.140000	सामान
4.140000	4.530000	लागल
4.530000	5.010000	बाटे
5.370000	5.520000	एक
5.580000	6.000000	!SIL
6.060000	6.330000	किना
6.330000	6.660000	ताना
6.660000	6.990000	खड़ा
6.990000	7.410000	बाना
8.100000	8.280000	एगो
8.280000	8.610000	आदमी
8.610000	9.180000	देता
10.020000	10.410000	!SIL
10.620000	10.890000	सब
11.220000	11.250000	!SIL
11.310000	11.400000	!SIL
11.430000	11.730000	लागल
11.730000	12.000000	बा
12.330000	12.600000	सब
12.600000	12.870000	कुछ
12.870000	12.900000	क
12.960000	13.380000	दुकान
13.380000	13.680000	बा
